Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20150101;1;-0;15557,138
20150101;2;-0;14727,413
20150101;3;-0;13979,463
20150101;4;-0;13453,775
20150101;5;-0;13306
20150101;6;-0;13175,575
20150101;7;-0;13165,113
20150101;8;-0;13029,75
20150101;9;-0;12945,35
20150101;10;-0;13454,675
20150101;11;-0;14094,525
20150101;12;-0;14717,888
20150101;13;-0;15188,363
20150101;14;-0;15637,263
20150101;15;-0;15698,788
20150101;16;-0;15882,163
20150101;17;-0;17216,188
20150101;18;-0;17645,913
20150101;19;-0;17543,6
20150101;20;-0;17552,65
20150101;21;-0;17264,15
20150101;22;-0;16559,75
20150101;23;-0;15860,238
20150101;24;-0;14705,775
20150102;1;13828;13720,8
20150102;2;13212;13258,475
20150102;3;13028;13010,575
20150102;4;13056;13006,9
20150102;5;13426;13241,45
20150102;6;14309;13985,825
20150102;7;15800;15719,825
20150102;8;17283;16899,625
20150102;9;17764;17782,8
20150102;10;18537;18763,35
20150102;11;19148;19358,025
20150102;12;19441;19743,775
20150102;13;19702;20030,825
20150102;14;19830;20491,95
20150102;15;20050;20393,95
20150102;16;20328;20516,4
20150102;17;21690;21503,975
20150102;18;21629;21448,8
20150102;19;21356;21109,575
20150102;20;21079;20924,3
20150102;21;20360;20286,175
20150102;22;19090;19113,525
20150102;23;17590;17908,1
20150102;24;16215;16641,7
20150103;1;15168;15491,375
20150103;2;14349;14866,75
20150103;3;13955;14559,7
20150103;4;13834;14399,3
20150103;5;13946;14584,075
20150103;6;14373;14754,5
20150103;7;15354;15689,425
20150103;8;16219;16285,25
20150103;9;17170;17005,975
20150103;10;18296;18138,15
20150103;11;18982;18846,65
20150103;12;19308;19193,75
20150103;13;19371;19228,25
20150103;14;19484;19455,45
20150103;15;19230;19216,575
20150103;16;19599;19568,15
20150103;17;20782;20674,05
20150103;18;20909;20548,275
20150103;19;20614;20469,95
20150103;20;20460;20157,95
20150103;21;19780;19535,675
20150103;22;18609;18337,525
20150103;23;17347;17324,4
20150103;24;16205;16106,925
20150104;1;14800;15072,2
20150104;2;14000;14350,25
20150104;3;13500;13946,2
20150104;4;13250;13792,85
20150104;5;13300;13817,225
20150104;6;13400;13964,8
20150104;7;13900;14381,15
20150104;8;14100;14469,725
20150104;9;15000;15067,3
20150104;10;15900;16019,325
20150104;11;16600;16764,95
20150104;12;16850;17174,65
20150104;13;17150;17300,2
20150104;14;17300;17593,1
20150104;15;17050;17347,425
20150104;16;17800;17553,35
20150104;17;19000;19026,25
20150104;18;19150;19287,325
20150104;19;19200;19294,875
20150104;20;19300;19320,15
20150104;21;18700;18646,8
20150104;22;17900;17920,375
20150104;23;16900;16953,075
20150104;24;15600;15826,7
20150105;1;14800;14796,225
20150105;2;14300;14212,15
20150105;3;14100;14036,875
20150105;4;14050;13981,175
20150105;5;14325;14320,725
20150105;6;15100;15035,9
20150105;7;16875;17081,275
20150105;8;18475;18428,8
20150105;9;19375;19411,8
20150105;10;20150;20241,275
20150105;11;20500;20542,625
20150105;12;20775;20803,025
20150105;13;20825;20876,925
20150105;14;21000;21171,425
20150105;15;20825;20995,2
20150105;16;21025;20977,075
20150105;17;22375;22323
20150105;18;22550;22399,275
20150105;19;22300;22214,55
20150105;20;22075;21919,6
20150105;21;21475;21086,425
20150105;22;20150;19861,45
20150105;23;18700;18574,75
20150105;24;17300;17262,925
20150106;1;15900;16169,95
20150106;2;15000;15395,75
20150106;3;14400;15059,275
20150106;4;14200;14924,775
20150106;5;14200;14872,975
20150106;6;14100;14824,925
20150106;7;14400;15005,05
20150106;8;14400;15064,275
20150106;9;15300;15570,9
20150106;10;16100;16433,725
20150106;11;16700;17014,85
20150106;12;17100;17398,95
20150106;13;17400;17560,925
20150106;14;17600;17905,55
20150106;15;17400;17608,8
20150106;16;17900;17647,95
20150106;17;19100;19321,025
20150106;18;19200;19796,925
20150106;19;19300;19897,25
20150106;20;19300;19907,7
20150106;21;18800;19579,05
20150106;22;18000;18636,025
20150106;23;17100;17812,3
20150106;24;15900;16429,1
20150107;1;15000;15520,7
20150107;2;14500;15134,425
20150107;3;14200;14919,15
20150107;4;14200;15074,675
20150107;5;14800;15366,05
20150107;6;16300;16505,625
20150107;7;19700;19846,4
20150107;8;20700;21757,35
20150107;9;21500;22658,3
20150107;10;21800;23187,25
20150107;11;22000;23307,675
20150107;12;22100;23492,4
20150107;13;22300;23582,85
20150107;14;22500;23708,425
20150107;15;22200;23499,675
20150107;16;22600;23527,85
20150107;17;23800;24799,9
20150107;18;23700;24771,875
20150107;19;23400;24396,325
20150107;20;23300;24237,525
20150107;21;22600;23519,4
20150107;22;21300;21839,275
20150107;23;19800;20220,575
20150107;24;18200;18784,825
20150108;1;17000;17725,3
20150108;2;16300;17096,825
20150108;3;16100;16691,875
20150108;4;16100;16763,925
20150108;5;16500;17045,025
20150108;6;17700;17819,55
20150108;7;20700;20514
20150108;8;21700;22147,575
20150108;9;22400;22826,1
20150108;10;22600;23163,375
20150108;11;22700;23138,55
20150108;12;22700;23368,625
20150108;13;22700;23303,9
20150108;14;23000;23276,65
20150108;15;22700;23072,325
20150108;16;22800;23200,2
20150108;17;24000;24445,3
20150108;18;23900;24559,15
20150108;19;23600;24210,25
20150108;20;23400;24048,15
20150108;21;22700;23141,2
20150108;22;21300;21517,9
20150108;23;19700;19791,175
20150108;24;18200;18446,5
20150109;1;17550;17618,05
20150109;2;16875;17064,65
20150109;3;16572;16721,7
20150109;4;16552;16678,375
20150109;5;16845;16875,8
20150109;6;17741;17623,825
20150109;7;20375;20394,175
20150109;8;21962;21996,35
20150109;9;22500;22651,6
20150109;10;23095;22907,225
20150109;11;22875;22955,675
20150109;12;23152;23136,825
20150109;13;23228;23248,9
20150109;14;23262;23453,625
20150109;15;23018;23304,825
20150109;16;23085;23280,725
20150109;17;24268;24106,025
20150109;18;24432;23959,875
20150109;19;24108;23611,1
20150109;20;23818;23351,725
20150109;21;23108;22494,45
20150109;22;21650;20795,975
20150109;23;19935;19461,225
20150109;24;18520;18307,825
20150110;1;17000;17109,375
20150110;2;16200;16438,15
20150110;3;15800;16122,3
20150110;4;15700;15987,9
20150110;5;15700;15951,9
20150110;6;16000;16166,175
20150110;7;17200;17264,875
20150110;8;17800;18177,35
20150110;9;19050;19154,3
20150110;10;19850;20254,675
20150110;11;20250;20802,375
20150110;12;20350;21042,1
20150110;13;20350;20970,575
20150110;14;20500;20944,825
20150110;15;19900;20566,15
20150110;16;20250;20447,175
20150110;17;21550;21424,55
20150110;18;21450;21300,075
20150110;19;21100;20709,1
20150110;20;21000;20433,525
20150110;21;20300;19796,875
20150110;22;19000;18466,075
20150110;23;18000;17453,475
20150110;24;16700;16345,75
20150111;1;15750;15314,525
20150111;2;15050;14609,4
20150111;3;14550;14299,225
20150111;4;14350;14179,85
20150111;5;14350;14214,15
20150111;6;14500;14324,275
20150111;7;15150;14840,6
20150111;8;15350;15034,2
20150111;9;16450;15693,925
20150111;10;17450;16765,9
20150111;11;17850;17396,2
20150111;12;18150;17880,6
20150111;13;18250;18036,725
20150111;14;18450;18296,55
20150111;15;18050;18138,425
20150111;16;18250;18034,2
20150111;17;19850;19390,225
20150111;18;20050;19787,5
20150111;19;20250;19818,125
20150111;20;20250;19846,775
20150111;21;19700;19064,275
20150111;22;18800;18117,475
20150111;23;17900;17297,2
20150111;24;16600;16155,175
20150112;1;15400;15221,075
20150112;2;14950;14720,175
20150112;3;14750;14576,7
20150112;4;14900;14681,625
20150112;5;15500;15076,775
20150112;6;17300;16274,075
20150112;7;20700;19562,55
20150112;8;21750;21536,25
20150112;9;22750;22428,9
20150112;10;22950;22785,85
20150112;11;23100;22930,875
20150112;12;23250;23036,5
20150112;13;23300;23225,925
20150112;14;23550;23273,775
20150112;15;23050;23052,225
20150112;16;23050;23136,6
20150112;17;24450;24102,85
20150112;18;24300;24189,7
20150112;19;23900;23864,075
20150112;20;23800;23689,1
20150112;21;23100;22875,175
20150112;22;21700;21300,675
20150112;23;20000;19659,275
20150112;24;18500;18269,475
20150113;1;17400;17135,15
20150113;2;16800;16607,425
20150113;3;16400;16256,4
20150113;4;16400;16202,55
20150113;5;16900;16499,925
20150113;6;18100;17465,375
20150113;7;21200;20165,575
20150113;8;22100;21816,15
20150113;9;22800;22308,925
20150113;10;23000;22451,25
20150113;11;23100;22427,925
20150113;12;23150;22613,2
20150113;13;23250;22524,425
20150113;14;23450;22491,75
20150113;15;23100;22183,85
20150113;16;23300;22072,075
20150113;17;24400;23491,775
20150113;18;24300;23899,3
20150113;19;23900;23709,975
20150113;20;23800;23596,625
20150113;21;23000;22798,05
20150113;22;21700;21092,475
20150113;23;20000;19570,025
20150113;24;18500;18166,825
20150114;1;17300;17018,35
20150114;2;16700;16424,675
20150114;3;16400;16109,55
20150114;4;16300;16205,075
20150114;5;16800;16461,7
20150114;6;18100;17284,875
20150114;7;21400;20183,65
20150114;8;22300;21698,95
20150114;9;23000;22303
20150114;10;23200;22589,4
20150114;11;23300;22401,25
20150114;12;23400;22627,525
20150114;13;23400;22791,675
20150114;14;23600;22650,1
20150114;15;23200;22348,3
20150114;16;23500;22341,525
20150114;17;24400;23645,975
20150114;18;24500;23904,325
20150114;19;24000;23773,875
20150114;20;23900;23654,3
20150114;21;22900;22852,2
20150114;22;21500;21082,975
20150114;23;19900;19414,8
20150114;24;18400;18146,1
20150115;1;17300;16958,65
20150115;2;16700;16389,9
20150115;3;16400;16071,3
20150115;4;16400;16118,075
20150115;5;16800;16359
20150115;6;18000;17197
20150115;7;21100;20086
20150115;8;22000;21640,375
20150115;9;22700;22286,3
20150115;10;22900;22469,425
20150115;11;23000;22399,35
20150115;12;23100;22609,25
20150115;13;23200;22553,55
20150115;14;23200;22611,925
20150115;15;22900;22438,925
20150115;16;23000;22428,575
20150115;17;24300;23905,975
20150115;18;24200;24122,725
20150115;19;23900;23763,6
20150115;20;23800;23565,4
20150115;21;23000;22918,4
20150115;22;21600;21337,25
20150115;23;20000;19627,475
20150115;24;18400;18202,15
20150116;1;17100;17132,4
20150116;2;16400;16488,125
20150116;3;16100;16148,125
20150116;4;16200;16227,625
20150116;5;16700;16450,3
20150116;6;17900;17189,875
20150116;7;21200;20115,475
20150116;8;22000;21593,925
20150116;9;22500;22075,6
20150116;10;22600;22296,625
20150116;11;22700;22128,125
20150116;12;22700;22274,225
20150116;13;22800;22220,725
20150116;14;22900;22280,775
20150116;15;22600;22072,6
20150116;16;22500;22024,95
20150116;17;24000;23489,075
20150116;18;24000;23731,875
20150116;19;23800;23342,725
20150116;20;23700;23060,525
20150116;21;22900;22245,925
20150116;22;21400;20599,975
20150116;23;19800;19102,85
20150116;24;18100;17946,05
20150117;1;17000;16848
20150117;2;16300;16069,75
20150117;3;15900;15782
20150117;4;15750;15709,95
20150117;5;15750;15727,9
20150117;6;16000;15978,8
20150117;7;17400;17024,475
20150117;8;18000;17859,7
20150117;9;19250;19070,2
20150117;10;20100;19944,15
20150117;11;20500;20318,125
20150117;12;20500;20499,425
20150117;13;20550;20384,4
20150117;14;20450;20417,525
20150117;15;20000;20049,3
20150117;16;20250;20047,275
20150117;17;21450;21212,45
20150117;18;21400;21306,4
20150117;19;20950;21053,05
20150117;20;20750;20794,225
20150117;21;20200;20087,225
20150117;22;18900;18802,25
20150117;23;17700;17720,9
20150117;24;16600;16502,025
20150118;1;15400;15445,775
20150118;2;14600;14813,375
20150118;3;14300;14387,5
20150118;4;14200;14217,275
20150118;5;14200;14197,075
20150118;6;14400;14364,775
20150118;7;14900;14845,225
20150118;8;15100;15139,875
20150118;9;16200;15939,675
20150118;10;17200;16898,2
20150118;11;17700;17690,925
20150118;12;18000;17930,9
20150118;13;18200;18106,25
20150118;14;18300;18138,9
20150118;15;18200;17911,95
20150118;16;18300;17704,225
20150118;17;19700;18993,05
20150118;18;19900;19512,35
20150118;19;19900;19636,475
20150118;20;20000;19635,625
20150118;21;19200;18994,55
20150118;22;18300;18191,95
20150118;23;17400;17202,8
20150118;24;16300;16076,45
20150119;1;15200;15144,3
20150119;2;14700;14788,275
20150119;3;14500;14547,8
20150119;4;14600;14564,7
20150119;5;15000;14938,55
20150119;6;16700;16053,9
20150119;7;20200;19347,35
20150119;8;21500;21293,625
20150119;9;22400;22261,2
20150119;10;22600;22757,6
20150119;11;22800;22869,625
20150119;12;22800;23050,575
20150119;13;22900;23199,725
20150119;14;23100;23269,925
20150119;15;22700;23041,425
20150119;16;22700;22843,775
20150119;17;24300;23770,175
20150119;18;24300;23925,375
20150119;19;23900;23597,95
20150119;20;23800;23441,85
20150119;21;23000;22529,55
20150119;22;21600;21097,975
20150119;23;19800;19559,75
20150119;24;18500;18055,025
20150120;1;17300;16996,55
20150120;2;16700;16412,075
20150120;3;16500;16153
20150120;4;16600;16210,55
20150120;5;17000;16477,925
20150120;6;18200;17320,275
20150120;7;21100;20162,475
20150120;8;22100;21865,475
20150120;9;22800;22625,75
20150120;10;23000;22896,925
20150120;11;23300;22887,45
20150120;12;23400;23225,475
20150120;13;23500;23263,65
20150120;14;23800;23351,975
20150120;15;23300;23080,15
20150120;16;22900;22952,625
20150120;17;24600;23842,2
20150120;18;24600;24067,7
20150120;19;24200;23832,45
20150120;20;24200;23664,425
20150120;21;23500;22841,825
20150120;22;22100;21158,3
20150120;23;20500;19714,45
20150120;24;19100;18270,3
20150121;1;17600;17379,8
20150121;2;16900;16705,7
20150121;3;16700;16441,075
20150121;4;16700;16561,525
20150121;5;17100;16852,025
20150121;6;18300;17646,7
20150121;7;21200;20172,85
20150121;8;22100;21949,475
20150121;9;22900;22634,4
20150121;10;23100;22932,65
20150121;11;23400;22951,025
20150121;12;23400;23231,95
20150121;13;23600;23214,825
20150121;14;23800;23304,375
20150121;15;23300;22931,8
20150121;16;23100;22709,275
20150121;17;24500;23641,975
20150121;18;24600;23853,4
20150121;19;24100;23526,65
20150121;20;24100;23348,7
20150121;21;23300;22687,575
20150121;22;21900;21125,8
20150121;23;20300;19584,925
20150121;24;18800;18149,7
20150122;1;17128;17179,025
20150122;2;16470;16465,7
20150122;3;16228;16248,075
20150122;4;16250;16197,35
20150122;5;16562;16524,775
20150122;6;17455;17322,325
20150122;7;19958;20126,475
20150122;8;21780;21716,875
20150122;9;22532;22568,825
20150122;10;23032;23007,85
20150122;11;23142;23102,975
20150122;12;23376;23267,825
20150122;13;23416;23381,575
20150122;14;23435;23426,875
20150122;15;23088;23126,4
20150122;16;23000;22961,225
20150122;17;23728;23856
20150122;18;24302;24162,5
20150122;19;23938;23751,35
20150122;20;23508;23572,225
20150122;21;22755;22864,25
20150122;22;21340;21192,4
20150122;23;19738;19802,875
20150122;24;18390;18343
20150123;1;17304;17352,025
20150123;2;16615;16726,7
20150123;3;16276;16387,3
20150123;4;16289;16436,25
20150123;5;16614;16747,125
20150123;6;17653;17425,75
20150123;7;20039;20217,375
20150123;8;21889;21827,35
20150123;9;22615;22526,4
20150123;10;22982;22916,675
20150123;11;23092;23038,65
20150123;12;23380;23368,2
20150123;13;23452;23410,125
20150123;14;23508;23490,05
20150123;15;23200;23214
20150123;16;23025;22938,55
20150123;17;23575;23754,8
20150123;18;24272;24162,75
20150123;19;23910;23773,25
20150123;20;23685;23435,975
20150123;21;22826;22604,125
20150123;22;21212;20954,3
20150123;23;19702;19575,025
20150123;24;18350;18315,05
20150124;1;17422;17259,375
20150124;2;16618;16552,7
20150124;3;16195;16113,05
20150124;4;16108;16022,55
20150124;5;16182;16144,175
20150124;6;16348;16297,825
20150124;7;17080;17379,075
20150124;8;18198;18194,625
20150124;9;19348;19410,725
20150124;10;20355;20442,825
20150124;11;20810;21062,7
20150124;12;21100;21283,55
20150124;13;21190;21145,6
20150124;14;21065;21014,35
20150124;15;20638;20375,425
20150124;16;20466;20210,5
20150124;17;21140;21022,35
20150124;18;21860;21526,125
20150124;19;21480;21322,475
20150124;20;21092;21065,125
20150124;21;20530;20351,775
20150124;22;19225;19106,875
20150124;23;18298;17979,35
20150124;24;17095;16696,7
20150125;1;15935;15735,8
20150125;2;15188;15104,025
20150125;3;14694;14693,2
20150125;4;14542;14646,675
20150125;5;14568;14665,625
20150125;6;14685;14695,4
20150125;7;15212;15192,8
20150125;8;15550;15414,325
20150125;9;16385;16189,475
20150125;10;17452;17213,575
20150125;11;18046;17977,35
20150125;12;18370;18335,525
20150125;13;18484;18417,175
20150125;14;18557;18523,65
20150125;15;18233;18128,35
20150125;16;17942;17907,5
20150125;17;18898;18961,475
20150125;18;19935;19849,05
20150125;19;20028;19993,75
20150125;20;20020;19991,375
20150125;21;19505;19347,925
20150125;22;18590;18525,175
20150125;23;17710;17620,875
20150125;24;16670;16347,025
20150126;1;15465;15517,775
20150126;2;14990;15032,575
20150126;3;14900;14837,475
20150126;4;14925;14930,375
20150126;5;15240;15331,15
20150126;6;16449;16459,125
20150126;7;19321;19708,05
20150126;8;21688;21360,2
20150126;9;22465;22449,1
20150126;10;22920;22858,25
20150126;11;23112;22902,25
20150126;12;23245;23200,125
20150126;13;23304;23156,625
20150126;14;23365;23217,75
20150126;15;22814;22833,725
20150126;16;22759;22629,375
20150126;17;23500;23373,8
20150126;18;23995;24011,475
20150126;19;23605;23778,525
20150126;20;23360;23645,075
20150126;21;22728;22742,5
20150126;22;21318;21156,85
20150126;23;19712;19618,65
20150126;24;18390;18249,875
20150127;1;17214;17273,075
20150127;2;16538;16829,575
20150127;3;16500;16539
20150127;4;16476;16540,4
20150127;5;16715;16848,775
20150127;6;17625;17674,525
20150127;7;20052;20171,675
20150127;8;21840;21707,825
20150127;9;22682;22512,775
20150127;10;22902;22950,35
20150127;11;22935;23050,725
20150127;12;23252;23244,65
20150127;13;23338;23334,8
20150127;14;23450;23389,05
20150127;15;23120;23129,8
20150127;16;22860;22986,625
20150127;17;23515;23644,075
20150127;18;24525;24242,4
20150127;19;24088;23893,025
20150127;20;23605;23664,075
20150127;21;22788;23008,975
20150127;22;21512;21298,775
20150127;23;19898;19786,575
20150127;24;18593;18361,55
20150128;1;17389;17386,1
20150128;2;16673;16863,575
20150128;3;16528;16517,325
20150128;4;16545;16515,7
20150128;5;16815;16801,425
20150128;6;17715;17580,725
20150128;7;20048;20217,55
20150128;8;21690;21762,95
20150128;9;22478;22628,4
20150128;10;23082;23006,95
20150128;11;23040;23006,6
20150128;12;23375;23256,15
20150128;13;23408;23209,3
20150128;14;23499;23292,85
20150128;15;22963;22959,45
20150128;16;22619;22696,225
20150128;17;23432;23381,3
20150128;18;24255;23990,775
20150128;19;23554;23745,8
20150128;20;23475;23576,05
20150128;21;22752;22901,35
20150128;22;21260;21161,375
20150128;23;19600;19636,825
20150128;24;18370;18303,325
20150129;1;17502;17214,35
20150129;2;16682;16684,525
20150129;3;16328;16284,225
20150129;4;16350;16245,75
20150129;5;16658;16524,575
20150129;6;17428;17311,475
20150129;7;19775;19923,375
20150129;8;21462;21531,325
20150129;9;22505;22412,175
20150129;10;22910;22853,025
20150129;11;22888;22973,575
20150129;12;22978;23196,25
20150129;13;23178;23160,025
20150129;14;23355;23140,9
20150129;15;22830;22702,225
20150129;16;22595;22353,875
20150129;17;23382;23012
20150129;18;23902;23807,825
20150129;19;23568;23642,825
20150129;20;23268;23419,65
20150129;21;22848;22705,825
20150129;22;21365;21064,25
20150129;23;19740;19613,8
20150129;24;18420;18118,225
20150130;1;17128;17226,275
20150130;2;16508;16642,275
20150130;3;16325;16356,275
20150130;4;16322;16371,375
20150130;5;16585;16612,05
20150130;6;17452;17410,875
20150130;7;19850;19978,325
20150130;8;21612;21276,35
20150130;9;22262;22206,525
20150130;10;22430;22589,775
20150130;11;22552;22797,275
20150130;12;22808;22935,275
20150130;13;22865;23031,175
20150130;14;23055;22959,975
20150130;15;22672;22784,2
20150130;16;22514;22558,075
20150130;17;23125;23315,725
20150130;18;23840;23944,575
20150130;19;23488;23625,725
20150130;20;23258;23220,925
20150130;21;22552;22475,125
20150130;22;21070;20868,075
20150130;23;19542;19523,625
